"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"009005","Altare","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",1931,"e","dato stimato"
"064002","Altavilla Irpina","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",3945,"e","dato stimato"
"082004","Altavilla Milicia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",8668,"e","dato stimato"
"065005","Altavilla Silentina","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",6939,"e","dato stimato"
"024004","Altavilla Vicentina","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",11868,"e","dato stimato"
"109001","Altidona","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",3538,"e","dato stimato"
"069001","Altino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",3067,"e","dato stimato"
"024005","Altissimo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",2133,"e","dato stimato"
"026001","Altivole","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",6991,"e","dato stimato"
"004005","Alto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",149,"e","dato stimato"
"078009","Altomonte","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",4019,"e","dato stimato"
"046001","Altopascio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",15784,"e","dato stimato"
"055003","Alviano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",1365,"e","dato stimato"
"061003","Alvignano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",4507,"e","dato stimato"
"016008","Alzano Lombardo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",13334,"e","dato stimato"
"006008","Alzano Scrivia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",348,"e","dato stimato"
"013007","Alzate Brianza","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",4822,"e","dato stimato"
"065006","Amalfi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",4729,"e","dato stimato"
