"ITTER107","Territory","TIPO_DATO15","Biometric functions","SEXISTAT1","Gender","ETA1","Age and age class","TIME","Select time","Value","Flag Codes","Flags"
"ITG19","Siracusa","LIFEXP","life expectancy - ex","9","total","Y49","49 years","2021","2021",32.772,,
"ITF44","Brindisi","LIFEXP","life expectancy - ex","9","total","Y50","50 years","2021","2021",33.807,,
"ITF51","Potenza","LIFEXP","life expectancy - ex","9","total","Y52","52 years","2021","2021",31.731,,
"ITG25","Sassari","LIFEXP","life expectancy - ex","9","total","Y53","53 years","2021","2021",31.276,,
"ITF12","Teramo","LIFEXP","life expectancy - ex","9","total","Y57","57 years","2021","2021",27.525,,
"ITF34","Avellino","LIFEXP","life expectancy - ex","9","total","Y57","57 years","2021","2021",26.649,,
"ITG13","Messina","LIFEXP","life expectancy - ex","9","total","Y57","57 years","2021","2021",26.338,,
"ITE15","Prato","LIFEXP","life expectancy - ex","9","total","Y58","58 years","2021","2021",26.17,,
"ITF33","Napoli","LIFEXP","life expectancy - ex","9","total","Y59","59 years","2021","2021",23.724,,
"ITG13","Messina","LIFEXP","life expectancy - ex","9","total","Y60","60 years","2021","2021",23.787,,
"ITF61","Cosenza","LIFEXP","life expectancy - ex","9","total","Y61","61 years","2021","2021",23.206,,
"ITF63","Catanzaro","LIFEXP","life expectancy - ex","9","total","Y61","61 years","2021","2021",23.872,,
"ITG25","Sassari","LIFEXP","life expectancy - ex","9","total","Y62","62 years","2021","2021",23.346,,
"ITF22","Campobasso","LIFEXP","life expectancy - ex","9","total","Y63","63 years","2021","2021",21.371,,
"ITC43","Lecco","LIFEXP","life expectancy - ex","9","total","Y64","64 years","2021","2021",21.883,,
"ITF51","Potenza","LIFEXP","life expectancy - ex","9","total","Y64","64 years","2021","2021",21.206,,
"ITF63","Catanzaro","LIFEXP","life expectancy - ex","9","total","Y64","64 years","2021","2021",21.347,,
"ITF43","Taranto","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",61.096,,
"ITF21","Isernia","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",60.323,,
"ITF61","Cosenza","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",60.04,,
"ITF13","Pescara","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",59.811,,
"ITF34","Avellino","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",59.065,,
"ITF63","Catanzaro","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",59.821,,
"ITG25","Sassari","LIFEXP","life expectancy - ex","9","total","Y25","25 years","2021","2021",58.188,,
"ITF21","Isernia","LIFEXP","life expectancy - ex","9","total","Y26","26 years","2021","2021",56.403,,
"ITF34","Avellino","LIFEXP","life expectancy - ex","9","total","Y27","27 years","2021","2021",55.139,,
"ITF42","Bari","LIFEXP","life expectancy - ex","9","total","Y27","27 years","2021","2021",55.608,,
"ITG17","Catania","LIFEXP","life expectancy - ex","9","total","Y27","27 years","2021","2021",54.933,,
"ITF31","Caserta","LIFEXP","life expectancy - ex","9","total","Y30","30 years","2021","2021",51.248,,
"ITC43","Lecco","LIFEXP","life expectancy - ex","9","total","Y31","31 years","2021","2021",52.944,,
"ITG15","Caltanissetta","LIFEXP","life expectancy - ex","9","total","Y32","32 years","2021","2021",49.284,,
"ITG19","Siracusa","LIFEXP","life expectancy - ex","9","total","Y32","32 years","2021","2021",49.088,,
